Theta_MCP,Theta_PIP,Theta_DIP
8.948960431794947112e+01,6.949955595004679765e+01,3.916706863611285172e+00
8.395996312298596820e+01,6.408902728792904213e+01,-9.845268806150985208e-01
7.545552202499611383e+01,5.457038630120354838e+01,-5.183728710844579979e+00
6.257190081220986855e+01,4.369890056797380851e+01,-6.905949196189139272e+00
5.056367799450268308e+01,3.522555262815374988e+01,-6.905949196189139272e+00
3.331046558085947851e+01,2.440258406231797395e+01,-6.905949196189139272e+00
1.737764991976429130e+01,1.359810623484313652e+01,-5.853019070977952154e+00
7.077536062031348330e+00,7.974726289412203961e+00,-4.630422828378642386e+00
5.798118211455490778e-01,4.250001449978744184e+00,-3.691385386189138806e+00
-3.240346914930720690e+00,2.630125660318586078e+00,-3.641657271942847274e+00
-6.878061725234472235e+00,4.523885118222237267e-01,-2.416919828648044444e+00
-7.914763845511821216e+00,-1.092050560719713515e+00,-1.548342846189138866e+00
-8.523127417744847278e+00,-1.092050560719713515e+00,-1.548342846189138866e+00
-8.523127417744847278e+00,-1.092050560719713515e+00,-1.548342846189138866e+00
-8.523127417744847278e+00,-1.092050560719713515e+00,-1.548342846189138866e+00
-7.703616974077888813e+00,-1.092050560719713515e+00,-1.548342846189138866e+00
-6.772191672797766238e+00,-1.092050560719713515e+00,-1.548342846189138866e+00
-6.518607257575178338e+00,-1.092050560719713515e+00,-1.548342846189138866e+00
-4.679624097923855253e+00,-1.092050560719713515e+00,-1.795070108002446263e+00
-3.641124060064842016e+00,-1.092050560719713515e+00,-2.619864116189138947e+00
-2.134030051475380052e+00,-6.004807574603908682e-01,-2.619864116189138947e+00
-1.254535209744847002e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-1.983223182395355222e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-2.163109235744847147e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-2.163109235744847147e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-2.163109235744847147e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-2.163109235744847147e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-2.163109235744847147e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-2.163109235744847147e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-2.163109235744847147e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-2.809996556918392230e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-4.621627267987721943e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-5.842450382676057430e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-7.996162786108056864e+00,-1.394007957197135883e-01,-2.619864116189138947e+00
-1.085320792925930711e+01,-1.394007957197135883e-01,-2.619864116189138947e+00
-1.215742352174484786e+01,-1.394007957197135883e-01,-2.164221814607391714e+00
-1.267426014547250901e+01,-1.394007957197135883e-01,-1.548342846189138866e+00
-1.306599754774484801e+01,-1.394007957197135883e-01,-1.548342846189138866e+00
-1.306599754774484801e+01,-1.394007957197135883e-01,-1.548342846189138866e+00
-1.311356288766706868e+01,-1.394007957197135883e-01,-1.548342846189138866e+00
-1.397457157374484815e+01,-1.394007957197135883e-01,-1.548342846189138866e+00
-1.423109732341719713e+01,-1.394007957197135883e-01,-1.548342846189138866e+00
-1.488314559974484830e+01,-1.394007957197135883e-01,-1.548342846189138866e+00
-1.488314559974484830e+01,-1.394007957197135883e-01,-1.548342846189138866e+00
-1.488314559974484830e+01,-1.394007957197135883e-01,-1.548342846189138866e+00
-1.488314559974484830e+01,-1.394007957197135883e-01,-1.548342846189138866e+00
-1.488314559974484830e+01,-1.394007957197135883e-01,-1.548342846189138866e+00
-1.393820086979039630e+01,-1.775358750677653308e-01,-1.548342846189138866e+00
-1.289978622023341615e+01,-1.092050560719713515e+00,-1.548342846189138866e+00
-1.186114176679217280e+01,-1.092050560719713515e+00,-1.548342846189138866e+00
-1.082268039968801610e+01,-1.092050560719713515e+00,-1.548342846189138866e+00
-1.034027546974484757e+01,-1.092050560719713515e+00,-1.548342846189138866e+00
-9.654559475348268194e+00,-1.092050560719713515e+00,-1.548342846189138866e+00
-8.615941767122007988e+00,-1.092050560719713515e+00,-1.548342846189138866e+00
-8.445997205687321596e+00,-1.059701813655264724e+00,-1.566535455798085508e+00
-6.252110762568382718e+00,-1.395762786231031227e-01,-2.084004791371326437e+00
-4.069746599051250691e+00,7.465977073875540437e-01,-2.623320775577993924e+00
-2.091297940199984051e+00,8.460872536362972207e-01,-3.659858812428867569e+00
1.732986557916284864e+00,2.040398561147172884e+00,-4.000137263222548256e+00
3.288334920255153282e+00,3.936644582232061484e+00,-5.834427926189139413e+00
3.649013452230952304e+00,4.623848029280286376e+00,-5.834427926189139413e+00
4.196908946255152983e+00,4.623848029280286376e+00,-5.834427926189139413e+00
3.576321457187344510e+00,4.623848029280286376e+00,-5.834427926189139413e+00
3.288334920255153282e+00,4.623848029280286376e+00,-5.834427926189139413e+00
2.407092031641890006e+00,4.623848029280286376e+00,-5.834427926189139413e+00
1.471186868255152991e+00,4.623848029280286376e+00,-5.834427926189139413e+00
1.471186868255152991e+00,4.623848029280286376e+00,-5.834427926189139413e+00
1.706837690612047487e+00,4.623848029280286376e+00,-5.834427926189139413e+00
2.379760894255153136e+00,4.623848029280286376e+00,-5.834427926189139413e+00
2.379760894255153136e+00,4.623848029280286376e+00,-5.834427926189139413e+00
2.613528149549516399e+00,4.623848029280286376e+00,-5.834427926189139413e+00
3.835590217277021097e+00,4.910749599864523418e+00,-5.834427926189139413e+00
6.316250456648210942e+00,7.692335958388028416e+00,-6.310398357299089156e+00
1.049661280432916577e+01,1.313445568853094692e+01,-8.163322187264817842e+00
1.701927035058707105e+01,1.927774208250853150e+01,-9.831603559909860124e+00
2.587611730562941759e+01,2.248300290441430249e+01,-1.105639107778256758e+01
